head,tail,label,predict
Q272110,Q181533,NA,NA
Q3133478,Q362,NA,NA
Q16311276,Q3765138,NA,NA
Q7607593,Q2106670,NA,NA
Q13722122,Q520001,NA,NA
Q2525635,Q270730,NA,NA
Q2525635,Q210200,NA,NA
Q7870392,Q362,NA,NA
Q2992817,Q1332160,NA,NA
Q1544908,Q310394,NA,NA
Q7785876,Q403902,NA,NA
Q7785876,Q95043,NA,NA
Q1364768,Q361,NA,NA
Q7285510,Q381477,NA,NA
Q3787974,Q2052520,NA,NA
Q162269,Q6683,NA,NA
Q162269,Q1808450,NA,NA
Q4899656,Q80330,NA,NA
Q2306581,Q362,NA,NA
Q5537127,Q80330,NA,NA
Q800466,Q613693,NA,NA
Q1136107,Q597,NA,NA
Q490973,Q92530,NA,NA
Q4682530,Q2721694,NA,NA
Q2439660,Q1984330,NA,participant of
Q122113,Q168763,NA,main subject
Q122113,Q349548,NA,NA
Q2861922,Q237674,NA,participant of
Q18208992,Q173399,NA,NA
Q5249703,Q7321488,NA,NA
Q1047596,Q244451,NA,NA
Q27958476,Q6963590,NA,NA
Q486597,Q49001,NA,NA
Q59780,Q937583,NA,NA
Q7173684,Q362,NA,NA
Q3980888,Q746807,NA,NA
Q3980888,Q861368,NA,NA
Q537921,Q953598,NA,NA
Q1032842,Q961290,NA,NA
Q1032842,Q961290,NA,NA
Q725842,Q16833834,NA,headquarters location
Q826120,Q207689,NA,operator
Q5352709,Q802090,NA,NA
Q6413226,Q5328614,NA,NA
Q821757,Q867675,NA,NA
Q1213550,Q5111192,NA,participant of
Q5047918,Q124057,NA,NA
Q801228,Q802814,NA,NA
Q1540341,Q40475,NA,NA
Q902391,Q3109431,NA,NA
Q1213396,Q43247,NA,NA
Q1213396,Q116983,NA,NA
Q222867,Q170606,NA,NA
Q27142,Q1790833,NA,NA
Q1050183,Q235,NA,NA
Q5060058,Q559392,NA,military branch
Q5060058,Q1141363,NA,NA
Q25999961,Q7920824,NA,director
Q426804,Q214793,NA,NA
Q856582,Q1151659,NA,NA
Q856582,Q511543,NA,NA
Q801001,Q19892,NA,work location
Q5217828,Q132830,NA,NA
Q1734874,Q36970,NA,NA
Q1734874,Q311219,NA,NA
Q5329730,Q362,NA,NA
Q1054301,Q248445,NA,NA
Q1051862,Q2632,NA,NA
Q175882,Q188459,NA,NA
Q1295079,Q622572,NA,NA
Q8075555,Q40811,NA,NA
Q204016,Q213394,NA,NA
Q3283330,Q343983,NA,NA
Q898684,Q267138,NA,instance of
Q14935192,Q7567358,NA,NA
Q785074,Q313470,NA,NA
Q555254,Q7388188,NA,NA
Q555254,Q7388191,NA,NA
Q172764,Q362,NA,NA
Q219712,Q170314,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,country of citizenship
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,instance of
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,screenwriter
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,operator
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q219712,Q362,NA,NA
Q599472,Q215488,NA,main subject
Q5882654,Q533883,NA,NA
Q19896196,Q6602,NA,NA
Q2503662,Q568743,NA,NA
